"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000117616",4362.494874614,0.445275635328846,0.0799906438892936,5.56659646277013,2.59763008915666e-08,3.89670712365826e-07
"ENSG00000232677",5439.5890374234,-0.412364919859545,0.0740829020608072,-5.56626304300385,2.60260280635071e-08,3.90219887502593e-07
"ENSG00000119899",2946.96494176747,-0.604542343537205,0.108624326586736,-5.56544157771583,2.61489382331019e-08,3.91865221974853e-07
"ENSG00000143858",1885.54197625441,0.5287259539853,0.0950175733155021,5.56450702260819,2.62894542400225e-08,3.93772605880135e-07
"ENSG00000299590",37.5936183377455,3.17813722853116,0.571403741063294,5.56198183550066,2.66728061203196e-08,3.9931351970868e-07
"ENSG00000163040",652.806701727589,0.845629126244439,0.152062007811511,5.56108089334609,2.68108878443572e-08,4.01178813232441e-07
"ENSG00000261326",827.752622549846,0.785256550203935,0.141224465176797,5.56034359358971,2.69244050129138e-08,4.02674849632553e-07
"ENSG00000287900",48.498529115146,2.80695098933167,0.504983148508214,5.55850427410058,2.72096296648963e-08,4.06736107357623e-07
"ENSG00000121039",972.59453234342,-0.681311074394248,0.12263237656907,-5.55571940669775,2.76470691594372e-08,4.1306748683364e-07
"ENSG00000186310",3378.62919605278,0.660677175951045,0.119001678031002,5.55183075468001,2.82693223304898e-08,4.22152375183273e-07
"ENSG00000146833",1459.07082052308,0.522079824160276,0.0940612513094733,5.55042397259386,2.84977624979746e-08,4.25350196200326e-07
"ENSG00000119865",179.908636562329,1.31336531436923,0.236674451828463,5.54924836298401,2.8690036660956e-08,4.28005276105044e-07
"ENSG00000139116",3675.30258292537,-0.471595329246653,0.0849926873960628,-5.54865769862101,2.87871159164392e-08,4.29238264243768e-07
"ENSG00000142512",243.766411545388,1.17383468922602,0.211588306381584,5.54772950027347,2.89403152048572e-08,4.31306390981406e-07
"ENSG00000132321",474.866610018319,0.836494143484835,0.150796434827161,5.54717453661025,2.90322896049867e-08,4.32460450114942e-07
"ENSG00000087460",67285.1389919602,-0.359777961200973,0.0648910602144832,-5.54433784887789,2.95068627064605e-08,4.39309632096637e-07
"ENSG00000101842",199.503887733644,1.26360864152827,0.227958880655581,5.54314285933626,2.9709027895374e-08,4.41877226401845e-07
"ENSG00000139190",953.681730192765,0.611836389257156,0.110375464073436,5.54322823820777,2.9694539255806e-08,4.41877226401845e-07
"ENSG00000138587",400.713912285271,1.02437454854936,0.184813648055572,5.54274297015848,2.97769797054413e-08,4.426665743617e-07
"ENSG00000183161",1889.04179738775,-0.536880910729352,0.0968756445338433,-5.54195962579422,2.99105280321908e-08,4.44429808877912e-07
"ENSG00000271601",149.262170806487,1.50881474923818,0.272295256208766,5.54109818233992,3.005806197117e-08,4.46334738670191e-07
"ENSG00000100906",661.301708055025,-0.703953211790723,0.127047150045471,-5.54088156671576,3.00952712936515e-08,4.46334738670191e-07
"ENSG00000205362",17.1191164398163,-7.58359652105104,1.36866744413861,-5.54086133452518,3.00987489754396e-08,4.46334738670191e-07
"ENSG00000142303",821.532250551874,0.957455122187872,0.172794050352411,5.54101903529176,3.00716523411376e-08,4.46334738670191e-07
